order_id,order_date,store_name,order_total,order_url,item_name,budget_category,category_source,unit_qty,weight_qty,weight_unit,unit_cost,line_total,original_line_total
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,1% Milk,Groceries,exact,1,,,$6.49,$6.49,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Fontaine Family Organic Lean Ground Beef,Groceries,exact,1,,,$35.99,$35.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Freybe Sliced Back Bacon,Groceries,default,1,,,$16.49,$16.49,$19.99
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,GoGo Squeez Fruit Sauce Variety Pack,Groceries,exact,1,,,$19.99,$19.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Green Seedless Grapes,Groceries,verified_cache,1,,,$7.99,$7.99,$10.99
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Kirkland Signature Frozen Chicken Breast Fillets,Groceries,exact,1,,,$32.99,$32.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Kirkland Signature Mini Brioche Bun,Groceries,default,2,,,$7.99,$15.98,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Kirkland Signature Sliced Medium Cheddar Cheese,Groceries,exact,1,,,$18.99,$18.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Kiwi,Groceries,default,1,,,$11.99,$11.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Kodiak Cakes Power Cakes,Health & Fitness,fuzzy,1,,,$18.99,$18.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,La Terra Fina Variety Quiche With Egg Whites,Groceries,exact,1,,,$21.99,$21.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Large Eggs,Groceries,exact,1,,,$20.99,$20.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Naturipe Farms Blueberries,Groceries,exact,1,,,$13.99,$13.99,
040119724401616509216,2026-04-01,Costco,$263.19,https://www.instacart.ca/store/orders/040119724401616509216,Oroweat Original Keto Tortillas,Groceries,exact,1,,,$9.99,$9.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,1% Milk,Groceries,exact,1,,,$6.49,$6.49,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Alani Nu Variety Pack Energy Drink,Groceries,exact,1,,,$25.99,$25.99,
